Dia,Horário,Disciplina,Sala
Segunda-feira,07:00 - 07:50,Ingles,05
Segunda-feira,07:50 - 08:40,Português,02
Segunda-feira,08:40 - 09:30,Eletiva,
Segunda-feira,09:50 - 10:40,CR,03
Segunda-feira,10:40 - 11:30,Matemática,04
Segunda-feira,11:30 - 12:20,Matemática,01
Terça-feira,07:00 - 07:50,Biologia,05
Terça-feira,07:50 - 08:40,Matemática,01
Terça-feira,08:40 - 09:30,Quimica,06
Terça-feira,09:50 - 10:40,Biologia,05
Terça-feira,10:40 - 11:30,Matemática,01
Terça-feira,11:30 - 12:20,Português,05
Quarta-feira,07:00 - 07:50,Sociologia,04
Quarta-feira,07:50 - 08:40,Filosofia,11
Quarta-feira,08:40 - 09:30,Português,01
Quarta-feira,09:50 - 10:40,Estudo Orientado,01
Quarta-feira,10:40 - 11:30,História,04
Quarta-feira,11:30 - 12:20,Português,03
Quinta-feira,07:00 - 07:50,Matemática Financeira,06
Quinta-feira,07:50 - 08:40,Geografia,07
Quinta-feira,08:40 - 09:30,Matemática,05
Quinta-feira,09:50 - 10:40,História,05
Quinta-feira,10:40 - 11:30,Matemática,01
Quinta-feira,11:30 - 12:20,Matemática,03
Sexta-feira,07:00 - 07:50,Português,05
Sexta-feira,07:50 - 08:40,Física,04
Sexta-feira,08:40 - 09:30,Matemática,01
Sexta-feira,09:50 - 10:40,Matemática,01
Sexta-feira,10:40 - 11:30,Geografia,04
Sexta-feira,11:30 - 12:20,Projeto de Vida,06
