Dia,Horário,Disciplina,Turma,Sala
Segunda,07:00 - 07:50,Ciência Tecnologia e Saúde,3M5,6
Segunda,07:50 - 08:40,Matemática,3M5,4
Segunda,08:40 - 09:30,Geografia,3M5,7
Segunda,09:50 - 10:40,Português,3M5,2
Segunda,10:40 - 11:30,Biologia,3M5,5
Terça,07:00 - 07:50,Micro e Macro Química,3M5,3
Terça,07:50 - 08:40,Matemática,3M5,4
Terça,08:40 - 09:30,Micro e Macro Química,3M5,3
Terça,09:50 - 10:40,Português,3M5,2
Terça,10:40 - 11:30,Matemática,3M5,4
Terça,11:30 - 12:20,Que Haja Luz,3M5,3
Quarta,07:00 - 07:50,Geografia,3M5,7
Quarta,07:50 - 08:40,História,3M5,4
Quarta,08:40 - 09:30,Biologia,3M5,5
Quarta,09:50 - 10:40,Ciência Tecnologia e Saúde,3M5,3
Quarta,10:40 - 11:30,Português,3M5,2
Quarta,11:30 - 12:20,Português,3M5,2
Quinta,07:00 - 07:50,Que Haja Luz,3M5,4
Quinta,07:50 - 08:40,Estudo Orientado,3M5,2
Quinta,08:40 - 09:30,Física,3M5,4
Quinta,09:50 - 10:40,Matemática,3M5,1
Quinta,10:40 - 11:30,História,3M5,5
Quinta,11:30 - 12:20,Sociologia,3M5,11
Sexta,07:00 - 07:50,Filosofia,3M5,3
Sexta,07:50 - 08:40,Português,3M5,2
Sexta,08:40 - 09:30,Inglês,3M5,13
Sexta,09:50 - 10:40,Projeto de Vida,3M5,6
Sexta,10:40 - 11:30,Matemática,3M5,1
Sexta,11:30 - 12:20,Química,3M5,3
