Dia,Disciplina,Turma,Horário,Sala
Segunda-feira,PORTUGU,3M1,07:00 - 07:50,
Segunda-feira,ESINGING VANES,3M1,07:50 - 08:40,
Segunda-feira,SAMAT,3M1,08:40 - 09:30,
Segunda-feira,FABIANOCR,3M1,09:50 - 10:40,
Segunda-feira,RENANPDEFFI,3M1,10:40 - 11:30,
Segunda-feira,SCALMARCELO,3M1,11:30 - 12:20,
Terça-feira,BIO,3M1,07:00 - 07:50,
Terça-feira,GISELYBIO,3M1,07:50 - 08:40,
Terça-feira,GISELYLPALINE,3M1,08:40 - 09:30,
Terça-feira,PORTUGU,3M1,09:50 - 10:40,
Terça-feira,ESM,3M1,10:40 - 11:30,
Terça-feira,JENIFERMAT,3M1,11:30 - 12:20,
Quarta-feira,FABIANOMAT,3M1,07:00 - 07:50,
Quarta-feira,FABIANO,3M1,07:50 - 08:40,
Quarta-feira,HHIST,3M1,08:40 - 09:30,
Quarta-feira,HOMEROLPALINE,3M1,09:50 - 10:40,
Quarta-feira,PORTUGU,3M1,10:40 - 11:30,
Quarta-feira,ESLPALINE,3M1,11:30 - 12:20,
Quinta-feira,PORTUGU,3M1,07:00 - 07:50,
Quinta-feira,ESFILEDUAARD,3M1,07:50 - 08:40,
Quinta-feira,O MACPVSOC,3M1,08:40 - 09:30,
Quinta-feira,KETTELLYPVDJENANE,3M1,09:50 - 10:40,
Quinta-feira,EO,3M1,10:40 - 11:30,
Quinta-feira,HHIST,3M1,11:30 - 12:20,
Sexta-feira,HOMEROMATEMATI,3M1,07:00 - 07:50,
Sexta-feira,CA FINACN,3M1,07:50 - 08:40,
Sexta-feira,EIRAMARCELOMAT,3M1,08:40 - 09:30,
Sexta-feira,FABIANOMAT,3M1,09:50 - 10:40,
Sexta-feira,FABIANOESTATI,3M1,10:40 - 11:30,
Sexta-feira,STICARENANGEOGEO,3M1,11:30 - 12:20,
Segunda-feira,GISELYCIENCIA,3M2,07:00 - 07:50,
Segunda-feira,TECNOL,3M2,07:50 - 08:40,
Segunda-feira,OGIAARTUROCIENCIA,3M2,08:40 - 09:30,
Segunda-feira,TECNOL,3M2,09:50 - 10:40,
Segunda-feira,OGIAARTUROMAT,3M2,10:40 - 11:30,
Segunda-feira,FABIANOMAT,3M2,11:30 - 12:20,
Terça-feira,FABIANO,3M2,07:00 - 07:50,
Terça-feira,LP,3M2,07:50 - 08:40,
