Dia,Disciplina,Turma,Horário,Sala
Segunda,Estatistica,3M1,07:00 - 07:50,03
Segunda,Geografia,3M1,07:50 - 08:40,07
Segunda,Eletiva,3M1,08:40 - 09:30,
Segunda,PDEFFISCAI,3M1,09:50 - 10:40,01
Segunda,Educacao Financeira,3M1,10:40 - 11:30,01
Segunda,Fisica,3M1,11:30 - 12:20,14
Terça,Ingles,3M1,07:00 - 07:50,07
Terça,Quimica,3M1,07:50 - 08:40,06
Terça,Educacao Financeira,3M1,08:40 - 09:30,01
Terça,Matemática,3M1,09:50 - 10:40,01
Terça,Português,3M1,10:40 - 11:30,05
Terça,Biologia,3M1,11:30 - 12:20,06
Quarta,Português,3M1,07:00 - 07:50,01
Quarta,Biologia,3M1,07:50 - 08:40,05
Quarta,Geografia,3M1,08:40 - 09:30,07
Quarta,História,3M1,09:50 - 10:40,04
Quarta,Português,3M1,10:40 - 11:30,03
Quarta,Filosofia,3M1,11:30 - 12:20,11
Quinta,Estudo Orientado,3M1,07:00 - 07:50,02
Quinta,História,3M1,07:50 - 08:40,05
Quinta,Matemática Financeira,3M1,08:40 - 09:30,01
Quinta,Matemática,3M1,09:50 - 10:40,03
Quinta,Matemática,3M1,10:40 - 11:30,03
Quinta,CR,3M1,11:30 - 12:20,14
Sexta,Matemática,3M1,07:00 - 07:50,01
Sexta,Português,3M1,07:50 - 08:40,05
Sexta,Português,3M1,08:40 - 09:30,05
Sexta,Matemática,3M1,09:50 - 10:40,03
Sexta,Sociologia,3M1,10:40 - 11:30,06
Sexta,Projeto de Vida,3M1,11:30 - 12:20,02
Segunda,Ciência Tecnologia e Saúde,3M5,07:00 - 07:50,06
Segunda-feira,Ingles,3M2,07:00 - 07:50,05
Segunda-feira,Português,3M2,07:50 - 08:40,02
Segunda-feira,Eletiva,3M2,08:40 - 09:30,
Segunda-feira,CR,3M2,09:50 - 10:40,03
Segunda-feira,Matemática,3M2,10:40 - 11:30,04
Segunda-feira,Matemática,3M2,11:30 - 12:20,01
Terça-feira,Biologia,3M2,07:00 - 07:50,05
Terça-feira,Matemática,3M2,07:50 - 08:40,01
Terça-feira,Quimica,3M2,08:40 - 09:30,06
Terça-feira,Biologia,3M2,09:50 - 10:40,05
Terça-feira,Matemática,3M2,10:40 - 11:30,01
Terça-feira,Português,3M2,11:30 - 12:20,05
Quarta-feira,Sociologia,3M2,07:00 - 07:50,04
Quarta-feira,Filosofia,3M2,07:50 - 08:40,11
Quarta-feira,Português,3M2,08:40 - 09:30,01
Quarta-feira,Estudo Orientado,3M2,09:50 - 10:40,01
Quarta-feira,História,3M2,10:40 - 11:30,04
Quarta-feira,Português,3M2,11:30 - 12:20,03
Quinta-feira,Matemática Financeira,3M2,07:00 - 07:50,06
Quinta-feira,Geografia,3M2,07:50 - 08:40,07
Quinta-feira,Matemática,3M2,08:40 - 09:30,05
Quinta-feira,História,3M2,09:50 - 10:40,05
Quinta-feira,Matemática,3M2,10:40 - 11:30,01
Quinta-feira,Matemática,3M2,11:30 - 12:20,03
Sexta-feira,Português,3M2,07:00 - 07:50,05
Sexta-feira,Física,3M2,07:50 - 08:40,04
Sexta-feira,Matemática,3M2,08:40 - 09:30,01
Sexta-feira,Matemática,3M2,09:50 - 10:40,01
Sexta-feira,Geografia,3M2,10:40 - 11:30,04
Sexta-feira,Projeto de Vida,3M2,11:30 - 12:20,06
Segunda,Matemática,3M5,07:50 - 08:40,04
Segunda,Geografia,3M5,08:40 - 09:30,07
Segunda,Português,3M5,09:50 - 10:40,02
Segunda,Biologia,3M5,10:40 - 11:30,05
